experiment_id,optuna_study_id,dataset_name,model_name,method_name,num_results,avg_test_acc_fold,std_test_acc_fold,std_err_test_acc_fold,best_avg_val_acc_fold,avg_acc_diff_fold,best_avg_val_acc_epoch_fold,best_avg_train_loss_fold,best_avg_train_loss_epoch_fold,fold,required_folds,num_completed_trials_fold,best_trial_number
1,1,MUTAG,GCN,s_mixup,3,0.7631579041481018,0.026315808296203613,0.015193439003755744,1,-0.2368420958518982,540,0.42662373185157776,680,0,5,20,18
1,2,MUTAG,GCN,s_mixup,3,0.7456140319506327,0.015193439003755735,0.008771936098734534,0.9000000357627869,-0.15438600381215417,90,0.3965911865234375,270,1,5,20,21
1,63,MUTAG,GCN,s_mixup,3,0.7631579041481018,0,0,0.9000000357627869,-0.13684213161468506,440,0.4349660873413086,420,2,5,20,1
1,54,MUTAG,GCN,s_mixup,3,0.8828828930854797,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.0526009202003479,370,0.26577842235565186,450,3,5,20,17
1,47,MUTAG,GCN,s_mixup,3,0.8558558821678162,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.07962793111801147,20,0.4551528990268707,180,4,5,20,0
2,3,MUTAG,GIN,s_mixup,3,0.8157894611358643,0,0,0.8999999761581421,-0.08421051502227783,400,0.2702818214893341,520,0,5,20,9
2,11,MUTAG,GIN,s_mixup,3,0.8245613972345988,0.015193439003755735,0.008771936098734534,1,-0.17543860276540124,260,0.3509352505207062,330,1,5,20,21
2,66,MUTAG,GIN,s_mixup,3,0.8245614171028137,0.0401980351501733,0.023208346414846592,0.9666666388511658,-0.14210522174835205,120,0.2862738370895386,260,2,5,20,20
2,51,MUTAG,GIN,s_mixup,3,0.7837837735811869,0.04681219049886975,0.02702703078587849,0.9677419066429138,-0.18395813306172693,110,0.3587373197078705,310,3,5,20,1
2,44,MUTAG,GIN,s_mixup,3,0.792792797088623,0.015604052028704019,0.009009003639221191,0.9677419066429138,-0.17494910955429077,240,0.3837158977985382,430,4,5,20,15
3,4,ENZYMES,GIN,s_mixup,3,0.7249999841054281,0.030046265037229163,0.0173472192073871,0.6875,0.0374999841054281,170,0.5354822874069214,340,0,5,3,1
3,81,ENZYMES,GIN,s_mixup,3,0.6388888955116272,0.02678791486609732,0.015466009858970066,0.7291666865348816,-0.0902777910232544,460,0.6468073725700378,610,1,5,8,7
3,57,ENZYMES,GIN,s_mixup,3,0.694444477558136,0.04194351621924535,0.02421610037994074,0.7708333134651184,-0.07638883590698242,450,0.5180608034133911,630,3,5,3,1
3,49,ENZYMES,GIN,s_mixup,3,0.699999988079071,0.008333325386047363,0.004811247654879188,0.6458333134651184,0.05416667461395264,150,0.6353422999382019,340,4,5,3,1
4,93,ENZYMES,GCN,s_mixup,3,0.7027777632077535,0.017347200118622796,0.01001541065817318,0.6979166865348816,0.0048610766728719446,380,0.9720151424407959,580,0,5,6,5
4,94,ENZYMES,GCN,s_mixup,3,0.7194444338480631,0.012729397307757623,0.007349320962255562,0.7083333134651184,0.011111120382944706,230,0.6311373114585876,350,1,5,2,1
4,56,ENZYMES,GCN,s_mixup,3,0.7611111005147299,0.012729364790753058,0.007349302188554223,0.7604166865348816,0.0006944139798482629,110,0.5061953663825989,240,3,5,4,1
4,48,ENZYMES,GCN,s_mixup,3,0.5083333402872086,0.2966245291635795,0.17125625176083864,0.6979166865348816,-0.18958334624767303,540,0.5801094174385071,740,4,5,2,1
5,6,IMDB-BINARY,GCN,s_mixup,3,0.6699999968210856,0.05408325061684413,0.031224979302284954,0.71875,-0.048750003178914425,250,0.6276663541793823,210,0,5,6,1
5,59,IMDB-BINARY,GCN,s_mixup,3,0.7366666595141093,0.018929710544564302,0.010929073478585898,0.7562500238418579,-0.019583364327748654,150,0.6249285936355591,340,3,5,3,1
5,52,IMDB-BINARY,GCN,s_mixup,3,0.6949999928474426,0.01802773918471171,0.01040832007117367,0.7437499761581421,-0.04874998331069946,80,0.597415030002594,260,4,5,4,1
6,14,IMDB-BINARY,GIN,s_mixup,3,0.6083333492279053,0.09385273519871724,0.054185901931162066,0.8062499761581421,-0.19791662693023682,130,0.6238170266151428,280,1,5,8,1
6,92,IMDB-BINARY,GIN,s_mixup,3,0.7100000182787577,0.017320525970322787,0.010000010331471765,0.737500011920929,-0.02749999364217126,240,0.5604993104934692,430,2,5,5,1
6,58,IMDB-BINARY,GIN,s_mixup,3,0.7366666396458944,0.005773566011370453,0.0033333698908488054,0.762499988079071,-0.02583334843317664,290,0.583071768283844,370,3,5,5,1
6,50,IMDB-BINARY,GIN,s_mixup,3,0.7166666587193807,0.007637651391459716,0.004409600086835787,0.7437499761581421,-0.027083317438761356,80,0.6405327916145325,180,4,5,6,5
7,102,PROTEINS,GIN,s_mixup,3,0.5964125990867615,0,0,0.5955055952072144,0.0009070038795471191,10,,10,1,5,20,0
7,61,PROTEINS,GIN,s_mixup,3,0.5945945978164673,0,0,0.5977653861045837,-0.003170788288116455,10,,10,3,5,8,6
7,55,PROTEINS,GIN,s_mixup,3,0.6801801721254984,0.08007380938193433,0.04623063540169857,0.7541899681091309,-0.07400979598363244,70,0.6227042078971863,130,4,5,3,1
8,104,PROTEINS,GCN,s_mixup,3,0.7488789161046346,0.00448432564738715,0.002589026619652914,0.7977527976036072,-0.04887388149897254,340,0.35765254497528076,520,2,5,8,7
8,60,PROTEINS,GCN,s_mixup,3,0.7582582831382751,0.00688074018547729,0.003972597198309189,0.7653631567955017,-0.0071048736572265625,290,0.5641041994094849,330,3,5,4,3
8,53,PROTEINS,GCN,s_mixup,3,0.6606606642405192,0.041853942793814186,0.02416438513865582,0.7709497213363647,-0.11028905709584558,310,0.6196334362030029,470,4,5,3,0
9,27,MUTAG,GCN,g_mixup,3,0.859649141629537,0.01519343900375576,0.008771936098734548,0.8666666746139526,-0.007017532984415653,50,0.5597156882286072,210,0,5,20,15
9,32,MUTAG,GCN,g_mixup,3,0.8070175449053446,0.015193404590998045,0.008771916230519617,0.9000000357627869,-0.09298249085744226,230,0.26766929030418396,310,1,5,20,4
9,39,MUTAG,GCN,g_mixup,3,0.7456140319506327,0.015193439003755735,0.008771936098734534,0.8333333730697632,-0.08771934111913049,470,0.48452138900756836,630,2,5,20,3
9,21,MUTAG,GCN,g_mixup,3,0.8648648858070374,0,0,0.9032257795333862,-0.03836089372634888,120,0.4969305992126465,260,3,5,20,1
9,17,MUTAG,GCN,g_mixup,3,0.846846878528595,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.08863693475723267,30,0.4460490643978119,120,4,5,20,19
10,98,MUTAG,GIN,g_mixup,3,0.8245614171028137,0.05478068997334042,0.03162764610250153,0.8999999761581421,-0.07543855905532837,450,0.21616320312023163,490,0,5,20,4
10,100,MUTAG,GIN,g_mixup,3,0.7719298203786215,0.040198028646768656,0.023208342660104173,0.9666666388511658,-0.19473681847254432,50,0.2598778307437897,210,1,5,20,4
10,103,MUTAG,GIN,g_mixup,3,0.8245614171028137,0.0401980351501733,0.023208346414846592,0.9666666388511658,-0.14210522174835205,30,0.26019570231437683,230,2,5,20,3
10,22,MUTAG,GIN,g_mixup,3,0.8108108242352804,0.11780807770728288,0.06801652537701212,0.9677419066429138,-0.15693108240763343,20,0.5537551641464233,220,3,5,20,0
10,18,MUTAG,GIN,g_mixup,3,0.792792797088623,0.015604052028704019,0.009009003639221191,0.9354838132858276,-0.1426910161972046,90,0.49643605947494507,270,4,5,20,0
11,37,IMDB-BINARY,GCN,g_mixup,3,0.6850000023841858,0.07466590728828189,0.04310838167217719,0.737500011920929,-0.052500009536743164,390,0.6076054573059082,510,0,5,17,3
11,43,IMDB-BINARY,GCN,g_mixup,3,0.671666661898295,0.032145505874229055,0.018559216469722844,0.8125,-0.14083333810170495,340,0.635231077671051,510,1,5,9,0
11,73,IMDB-BINARY,GCN,g_mixup,3,0.703333338101705,0.02081666400331642,0.012018506565944729,0.731249988079071,-0.027916649977366093,300,0.6037659049034119,380,2,5,20,16
11,24,IMDB-BINARY,GCN,g_mixup,3,0.7150000135103861,0.027838827380914186,0.01607275448229433,0.7749999761581421,-0.05999996264775598,290,0.5710003972053528,180,3,5,20,4
11,19,IMDB-BINARY,GCN,g_mixup,3,0.6949999928474426,0.019999980926513672,0.01154699437171005,0.762499988079071,-0.06749999523162842,440,0.6263916492462158,630,4,5,20,13
12,36,IMDB-BINARY,GIN,g_mixup,3,0.6833333373069763,0.04010405258889679,0.023154085557794468,0.7124999761581421,-0.02916663885116577,380,0.570867657661438,550,0,5,20,11
12,42,IMDB-BINARY,GIN,g_mixup,3,0.5,0,0,0.8125,-0.3125,230,0.6286296844482422,160,1,5,20,19
12,64,IMDB-BINARY,GIN,g_mixup,3,0.7049999833106995,0.017320491557565074,0.009999990463256836,0.7562500238418579,-0.05125004053115845,360,0.5513065457344055,560,2,5,20,17
12,25,IMDB-BINARY,GIN,g_mixup,3,0.7133332888285319,0.015275205231908246,0.008819143852569006,0.7875000238418579,-0.07416673501332605,620,0.513721227645874,800,3,5,20,3
12,20,IMDB-BINARY,GIN,g_mixup,3,0.6933333277702332,0.005773497185855025,0.0033333301544189457,0.75,-0.056666672229766846,50,0.6227008700370789,210,4,5,20,8
13,40,PROTEINS,GIN,g_mixup,3,0.7399103045463562,0.008968591690063477,0.005178018826509989,0.7808988690376282,-0.04098856449127197,270,0.5312034487724304,410,0,5,16,12
13,46,PROTEINS,GIN,g_mixup,3,0.7174888253211975,0.024967561477562423,0.014415028340079196,0.7415730357170105,-0.02408421039581299,570,0.5314300656318665,680,1,5,19,3
13,74,PROTEINS,GIN,g_mixup,3,0.47832584381103516,0.12945072875843253,0.07473841309547426,0.7584269642829895,-0.28010112047195435,160,0.5187145471572876,220,2,5,20,17
13,30,PROTEINS,GIN,g_mixup,3,0.7597597440083822,0.020805437117696383,0.012012024720509839,0.7541899681091309,0.005569775899251339,240,0.4742621183395386,440,3,5,20,12
13,23,PROTEINS,GIN,g_mixup,3,0.7357357343037924,0.014479981460787201,0.008360021194246281,0.8212290406227112,-0.08549330631891883,150,0.623764157295227,190,4,5,16,15
14,38,PROTEINS,GCN,g_mixup,3,0.7339312434196472,0.013699750098955936,0.007909554407462813,0.7808988690376282,-0.04696762561798096,70,0.5465731620788574,270,0,5,19,8
14,45,PROTEINS,GCN,g_mixup,3,0.6846038897832235,0.022570492371824517,0.01303107984661528,0.7078651785850525,-0.023261288801828983,170,0.6213521957397461,340,1,5,12,5
14,72,PROTEINS,GCN,g_mixup,3,0.7518684466679891,0.020712109718797646,0.011958142121632886,0.8033707737922668,-0.051502327124277714,360,0.48386961221694946,550,2,5,20,7
14,31,PROTEINS,GCN,g_mixup,3,0.7762762705485026,0.024808895822537664,0.014323422681439503,0.7597765326499939,0.01649973789850867,230,0.5524376630783081,420,3,5,17,16
14,26,PROTEINS,GCN,g_mixup,3,0.759759763876597,0.017053789642979954,0.009846010041077729,0.7932960987091064,-0.033536334832509396,720,0.4895086884498596,910,4,5,6,5
15,29,ENZYMES,GCN,g_mixup,3,0.700000007947286,0.04330129771942809,0.025000015894571938,0.6666666865348816,0.033333321412404415,340,0.47487103939056396,450,0,5,20,1
15,34,ENZYMES,GCN,g_mixup,3,0.6611110965410868,0.03367876799691201,0.019444445768992104,0.7604166865348816,-0.0993055899937948,400,0.286931574344635,550,1,5,16,4
15,75,ENZYMES,GCN,g_mixup,3,0.6833333373069763,0.014433742964637562,0.008333325386047363,0.75,-0.06666666269302368,600,0.395428329706192,670,2,5,20,4
15,85,ENZYMES,GCN,g_mixup,3,0.7583333253860474,0.014433742964637562,0.008333325386047363,0.8229166865348816,-0.06458336114883423,210,0.3344779908657074,360,3,5,20,13
15,87,ENZYMES,GCN,g_mixup,3,0.6111111144224802,0.1119068850368949,0.06460947020022378,0.6875,-0.07638888557751977,230,0.49629688262939453,420,4,5,20,6
16,35,ENZYMES,GIN,g_mixup,3,0.7222222089767456,0.025458762098508163,0.01469862315080833,0.7083333134651184,0.013888895511627197,370,0.4264545142650604,550,0,5,20,5
16,41,ENZYMES,GIN,g_mixup,3,0.6666666666666666,0.016666680574425996,0.009622512516142356,0.7291666865348816,-0.06250001986821496,600,0.360637366771698,780,1,5,20,11
16,65,ENZYMES,GIN,g_mixup,3,0.6777777671813965,0.03154949483338905,0.018215109334853877,0.71875,-0.040972232818603516,480,0.47913140058517456,660,2,5,20,3
16,86,ENZYMES,GIN,g_mixup,3,0.719444473584493,0.02405623827439595,0.013888875643412282,0.8333333134651184,-0.11388883988062537,260,0.30039262771606445,430,3,5,20,13
16,88,ENZYMES,GIN,g_mixup,3,0.6722222367922465,0.05548607292566713,0.032034899139909125,0.65625,0.015972236792246464,490,0.23938436806201935,540,4,5,20,4
